Batterimodell,Cykelmärke,Voltage ,Original capacitet,Capacity,Blank,Price,Badge,Capacity,Blank,Price,Badge,Capacity,Blank,Price,Badge,OBS Note,Photolink,Productlink,Description,Charger,Note,Discount,Discount reason
NIU NQI 60 V,NIU,60,26,30,,7 500 kr,FALSE,45 Ah,,9 500 kr,FALSE,,,,,,"photos/batterier/nqi_new.webp, photos/batterier/nqi_old.webp",nqi,"NIU NQI 60 V mopedbatteri. Finns i två olika skal, vi kan reparera båda.",,,,
Off Course,Jeve VA3610 ITCPAMA,36,10,10,,3 500 kr,FALSE,15 Ah,,4 300 kr,FALSE,,,,,"Vissa av dessa har polymer-celler. Dessa celler sväller upp när de bli gamla, har ditt batteri svullnat så kan det hända att vi inte kan reparera det.",photos/batterier/off_course.webp,off-course,"Off Course (har gått i konkurs), såldes på Clas Ohlson mellan 2014-2018.",,"Vissa av dessa har polymer-celler. Dessa celler sväller upp när de bli gamla, har ditt batteri svullnat så kan det hända att vi inte kan reparera det.",3 000 kr,Sommarkampanj
Phylion XH370,"E-Fly, Devron, Amladcyklar",36,10,10,,3 950 kr,FALSE,15 Ah,,4 750 kr,FALSE,17.5 Ah,,5 450 kr,FALSE,"Vissa av dessa har polymer-celler. Dessa celler sväller upp när de bli gamla, har ditt batteri svullnat så kan det hända att vi inte kan reparera det.",photos/batterier/XH370.webp,xh370,,,"Vissa av dessa har polymer-celler. Dessa celler sväller upp när de bli gamla, har ditt batteri svullnat så kan det hända att vi inte kan reparera det.",3 450 kr,Sommarkampanj
E-Going SF-03,"Crescent, Monark, Sjösala, Marvil, Stålhästen",36,10,10,,3 950 kr,FALSE,14 Ah,,4 750 kr,FALSE,17.5 Ah,,5 450 kr,FALSE,"Om batteriet har ""Smart BMS (märkt med ett runt klistermärke) fungerar det bara ibland efter reparation. |Har batteriet inte Smart BMS reparerar vi det som vanligt. |Om batteriet har Smart BMS måste du först testa att cykeln fungerar med ett reparerat batteri via följande bytesprocess: |1. Du får ett färdigreparerat batteri av oss för att testa i din cykel. |2. Om det fungerar behåller du det och lämnar ditt gamla batteri i utbyte.|3. Om det inte fungerar lämnar du tillbaka batteriet och betalar ingenting. |Originalladdaren och batteriets LED-indikator slutar att fungera efter reparationen. |Ny laddare ingår i priset. |Batteristatus kontrolleras istället på cykelns display under körning eller på den nya laddarens diod under laddning.","photos/batterier/sf03_default.webp, photos/batterier/sf03_front.webp, photos/batterier/sf03_port.webp",sf03,"Mycket vanligt förekommande batteri, på bland annat cyklar från Crescent, Monark, Sjösala, Marvil, Stålhästen m.fl.",Ny laddare ingår,"Om batteriet har ""Smart BMS (märkt med ett runt klistermärke) fungerar det bara ibland efter reparation. |Har batteriet inte Smart BMS reparerar vi det som vanligt. |Om batteriet har Smart BMS måste du först testa att cykeln fungerar med ett reparerat batteri via följande bytesprocess: |1. Du får ett färdigreparerat batteri av oss för att testa i din cykel. |2. Om det fungerar behåller du det och lämnar ditt gamla batteri i utbyte.|3. Om det inte fungerar lämnar du tillbaka batteriet och betalar ingenting. |Originalladdaren och batteriets LED-indikator slutar att fungera efter reparationen. |Ny laddare ingår i priset. |Batteristatus kontrolleras istället på cykelns display under körning eller på den nya laddarens diod under laddning.",3 450 kr,Sommarkampanj
E-Going SF-06 (Phylion),Crescent ,36,11.6,11.6,,3 950 kr,FALSE,14 Ah,,4 750 kr,FALSE,17.5 Ah,,5 450 kr,FALSE,"Om batteriet har ""Smart BMS (märkt med ett runt klistermärke) fungerar det bara ibland efter reparation. |Har batteriet inte Smart BMS reparerar vi det som vanligt. |Om batteriet har Smart BMS måste du först testa att cykeln fungerar med ett reparerat batteri via följande bytesprocess: |1. Du får ett färdigreparerat batteri av oss för att testa i din cykel. |2. Om det fungerar behåller du det och lämnar ditt gamla batteri i utbyte.|3. Om det inte fungerar lämnar du tillbaka batteriet och betalar ingenting. |Originalladdaren och batteriets LED-indikator slutar att fungera efter reparationen. |Ny laddare ingår i priset. |Batteristatus kontrolleras istället på cykelns display under körning eller på den nya laddarens diod under laddning.",photos/batterier/sf06.webp,sf06,,Ny laddare ingår,"Om batteriet har ""Smart BMS (märkt med ett runt klistermärke) fungerar det bara ibland efter reparation. |Har batteriet inte Smart BMS reparerar vi det som vanligt. |Om batteriet har Smart BMS måste du först testa att cykeln fungerar med ett reparerat batteri via följande bytesprocess: |1. Du får ett färdigreparerat batteri av oss för att testa i din cykel. |2. Om det fungerar behåller du det och lämnar ditt gamla batteri i utbyte.|3. Om det inte fungerar lämnar du tillbaka batteriet och betalar ingenting. |Originalladdaren och batteriets LED-indikator slutar att fungera efter reparationen. |Ny laddare ingår i priset. |Batteristatus kontrolleras istället på cykelns display under körning eller på den nya laddarens diod under laddning.",3 450 kr,Sommarkampanj
Positive Energies Batteri,"Yosemite, Lifebike",36,10,10,,3 500 kr,FALSE,15 Ah,,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,photos/batterier/positive_energies.webp,positive-energies,Detta batteri har ofta vattenskador. Vi misstänker att vattnet kommer in via indikatorn. Vi tätar indikatorn efter reparation.,,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,3 000 kr,Sommarkampanj
Promovec,"Christiania, Winther, Merida",36,10,10,,3 950 kr,FALSE,14 Ah,,4 750 kr,FALSE,,,,,"Har din laddare 4 st stift kommer du att behöva köpa till en ny laddare (+450kr). Har din laddare 3 stift behöver du inte oroa dig, då kommer det reparerade batteriet fungera som orginal. Du måste lämna in laddare och nyckel till tändningslåset vid reparation.",photos/batterier/promovec.webp,promovec,"Promovec batteri, förkommer främst på cyklar från Christiania, Winther och Merida.","Om laddaren 4 stift kommer den behöva bytas ut, se flik tillägg och reparationer ","Har din laddare 4 st stift kommer du att behöva köpa till en ny laddare (+450kr). Har din laddare 3 stift behöver du inte oroa dig, då kommer det reparerade batteriet fungera som orginal. Du måste lämna in laddare och nyckel till tändningslåset vid reparation.",,
Protanium ,"Folkvänlig, Yosemite, Elegance",36,10,10,,3 500 kr,FALSE,14 Ah,,4 300 kr,FALSE,,,,,Batteriindikatorn kan inte anslutas efter reparationen och kommer inte fungera. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,photos/batterier/protanium.webp,protanium,"Protanium batteri, sitter på ett antal olika elcyklar. Detta batteri har ofta vattenskador. Vi misstänker att vattnet kommer in via indikatorn. Vi tätar indikatorn efter reparation.",,Batteriindikatorn kan inte anslutas efter reparationen och kommer inte fungera. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,3 000 kr,Sommarkampanj
Rawbike 48V,Rawbike,48,10,10,,4 000 kr,FALSE,15 Ah,,4 900 kr,FALSE,20 Ah,,5 800 kr,FALSE,,photos/batterier/rawbike_48.webp,rawbike,Förekommer på cyklar från Rawbike.,,,3 500 kr,Sommarkampanj
Reention Brilliance,"Cargobike, Evobike, Lifebike, Stålhästen",36,10,10,,3 500 kr,FALSE,15 Ah,,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,"photos/batterier/reention_brilliance.webp, photos/batterier/reention_brilliance_front.webp, photos/batterier/reention_brilliance_top.webp, photos/batterier/reention_brilliance_back.webp",reention-brilliance,"Reention Brilliance, förekommer främst på cyklar av märkena Cargobike, Evobike, Lifebike, Stålhästen.",,,3 000 kr,Sommarkampanj
