Batterimodell,Cykelmärke,Voltage ,Original capacitet,Capacity,Is moped?,Price,Badge,Capacity,Blank,Price,Badge,Capacity,Blank,Price,Badge,OBS Note,Photolink,Productlink,Description,Charger,Note,Discount,Discount reason
Reention Brilliance,"Cargobike, Evobike, Lifebike, Stålhästen",36,10,10,,3 500 kr,FALSE,15 Ah,3,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,"photos/batterier/reention_brilliance.webp, photos/batterier/reention_brilliance_front.webp, photos/batterier/reention_brilliance_top.webp, photos/batterier/reention_brilliance_back.webp",reention-brilliance,"Reention Brilliance, förekommer främst på cyklar av märkena Cargobike, Evobike, Lifebike, Stålhästen.",,,3 000 kr,Sommarkampanj
Supersoco 60 V,Supersoco,60,26,35,Moped,8 500 kr,FALSE,45 Ah,3,10 500 kr,FALSE,,,,,,photos/batterier/soco.webp,soco,Supersoco mopedbatteri.,,,,
TranzX 24 V,Crescent,24,10,10,,3 250 kr,FALSE,15 Ah,3,3 750 kr,FALSE,20 Ah,,4 250 kr,FALSE,"OBS! Vid reparation byts BMS på dessa. Du kommer inte längre att kunna se batteristatus på cykelns display, en separat batteriindikator kan installeras om så önskas.","photos/batterier/tranzex.webp, photos/batterier/tranzx_default.webp, photos/batterier/tranzx_side.webp, photos/batterier/tranzx_port.webp",tranzx24,Förekommer på bland annat äldre cyklar från Crescent. ,,"OBS! Vid reparation byts BMS på dessa. Du kommer inte längre att kunna se batteristatus på cykelns display, en separat batteriindikator kan installeras om så önskas.",2 750 kr,Sommarkampanj
Brinckers 36 V,"Bretagne, Brooklyn",36,10,10,,3 500 kr,FALSE,15 Ah,4,4 300 kr,FALSE,17.5 Ah,,5 000 kr,FALSE,,photos/batterier/brinckers.webp,brinckers ,,,,3 000 kr,Sommarkampanj
Greenway YJ145 36 V,Aspenäs,36,10,10,,3 500 kr,FALSE,15 Ah,4,4 300 kr,FALSE,17.5 Ah,,5 000 kr,FALSE,,photos/batterier/greenway_yj145.webp,greenway-yj145,,,,3 000 kr,Sommarkampanj
GWA IBO R37,Babboe ,36,10,10,,3 500 kr,FALSE,15 Ah,4,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,photos/batterier/gwa_ibo_r37.webp,babboe-gwa-ibo-r37,,,,3 000 kr,Sommarkampanj
Hailong 36 V,"XXL, Evobike, Cargobike, Elegant",36,10,10,,3 500 kr,FALSE,15 Ah,4,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,photos/batterier/hailong.webp,hailong,Dessa har ofta problem med fuktskador.,,,3 000 kr,Sommarkampanj
Clas Ohlson 36 V,Off Course,36,10,10,,3 500 kr,FALSE,15 Ah,4,4 300 kr,FALSE,,,,,"Vissa av dessa har polymer-celler. Dessa celler sväller upp när de bli gamla, har ditt batteri svullnat så kan det hända att vi inte kan reparera det.",photos/batterier/off_course.webp,off-course,"Off Course (har gått i konkurs), såldes på Clas Ohlson mellan 2014-2018.",,"Vissa av dessa har polymer-celler. Dessa celler sväller upp när de bli gamla, har ditt batteri svullnat så kan det hända att vi inte kan reparera det.",3 000 kr,Sommarkampanj
Phylion XH370 36 V,"Crescent, E-Fly, Devron, Amladcyklar, SWOOP",36,10,10,,3 950 kr,FALSE,15 Ah,4,4 750 kr,FALSE,17.5 Ah,,5 450 kr,FALSE,"Vissa av dessa har polymer-celler. Dessa celler sväller upp när de bli gamla, har ditt batteri svullnat så kan det hända att vi inte kan reparera det.",photos/batterier/XH370.webp,xh370,,,"Vissa av dessa har polymer-celler. Dessa celler sväller upp när de bli gamla, har ditt batteri svullnat så kan det hända att vi inte kan reparera det.",3 450 kr,Sommarkampanj
Rawbike 48 V,Rawbike,48,10,10,,4 000 kr,FALSE,15 Ah,4,4 900 kr,FALSE,20 Ah,,5 800 kr,FALSE,,photos/batterier/rawbike_48.webp,rawbike,,,,3 500 kr,Sommarkampanj
Reention Kangaroo,"Cargobike, Marvil, MyEco, Aspenäs, Sjösala",36,10,10,,3 500 kr,FALSE,14 Ah,4,4 300 kr,FALSE,,,,,,photos/batterier/reention_kangaroo.webp,reention-kangaroo,"Reention Kangaroo, tillhör främst cyklar från Cargobike, Marvil, MyEco, Aspenäs och Sjösala.",,,3 000 kr,Sommarkampanj
Shan Shan Haibao II 24 V ,"Kama, Sunwind",24,10,10,,3 000 kr,FALSE,14 Ah,4,3 500 kr,FALSE,,,,,,"photos/batterier/shan_shan_haibo_2.webp, photos/batterier/goodwheel.webp",shan-shan-haibao-II-24,"Shan Shan Haibao II 24 V, förekommer främst på cyklar från Kama och Sunwind.",,,2 500 kr,Sommarkampanj
Shan Shan Haibao II 36 V,"Sjösala, Peak, Aspenäs, Cube",36,10,10,,3 500 kr,FALSE,14 Ah,4,4 300 kr,FALSE,,,,,,"photos/batterier/shan_shan_haibo_2.webp, photos/batterier/goodwheel.webp",shan-shan-haibao-II-36,"Shan Shan Haiabo II 36 V, förekommer främst på cyklar från Sjösala, Peak, Aspenäs och Cube.",,,3 000 kr,Sommarkampanj
Shimano Steps BT-6010 36 V,"Crescent, Monark",36,11.6,11.6,,5 500 kr,FALSE,14 Ah,4,6 500 kr,FALSE,,,,,"För att reparation ska vara möjlig måste cykelns motor gå igång. |Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.","photos/batterier/BT6010_1.webp, photos/batterier/BT6010_2.webp, photos/batterier/BT6010_3.webp",shimano-steps,Förekommer på Crescent och Monarks cyklar bland andra. Vid reparation måste du lämna in laddaren för att vi ska kunna säkerställa korrekt funktion.,Laddaren behöver lämnas in.,"För att reparation ska vara möjlig måste cykelns motor gå igång. |Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",,
Silverfish 24V,"Evobike, Biltema, Zet",24,10,10,,3 000 kr,FALSE,15 Ah,4,3 500 kr,FALSE,20 Ah,,4 000 kr,FALSE,,photos/batterier/silverfish_24V_36V.webp,silverfish-24,"Silverfish 24 V. Förekommer på Evobike, Biltema, Zet, m.fl. ",,,2 500 kr,Sommarkampanj
Silverfish 36V,"Evobike, Biltema, Zet",36,10,10,,3 500 kr,FALSE,15 Ah,4,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,photos/batterier/silverfish_24V_36V.webp,silverfish-36,"Silverfish 36 V. Förekommer på Evobike, Biltema, Zet, m.fl. ",,,3 000 kr,Sommarkampanj
Sunlight-II 36 V,"Stålhästen, Lifebike ",36,10,10,,3 500 kr,FALSE,14 Ah,4,4 300 kr,FALSE,,,,,,photos/batterier/sunlight.webp,sunlight-2,,,,3 000 kr,Sommarkampanj
VeloCity 36 V,"White, Orion, Evobike, Cargobike",36,10,10,,3 500 kr,FALSE,14 Ah,4,4 300 kr,FALSE,17.5 Ah,,5 000 kr,FALSE,,photos/batterier/velocity.webp,velocity,,,,3 000 kr,Sommarkampanj
Biltema 36 V (Mtb.),Yosemite,36,10,10,,3 500 kr,FALSE,14 Ah,4,4 300 kr,FALSE,,,,,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,"photos/batterier/biltema_36_mb.webp, photos/batterier/biltema_36_mb_port.webp, photos/batterier/biltema_36_mb_back.webp",yosemite-mtb-36v,Sitter på Biltemas cykelmärke Yosemites eldrivna mountainbike.,,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,3 000 kr,Sommarkampanj
Dolphin-I 36 V,"The Box, Orion",36,10,10,,3 500 kr,FALSE,15 Ah,5,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,photos/batterier/dolphin_1.webp,dolphin-1,,,,3 000 kr,Sommarkampanj
Goodwheel 36 V,Goodwheel,36,10,10,,3 500 kr,FALSE,15 Ah,5,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,photos/batterier/goodwheel_real.webp,goodwheel,Tillhör Goodwheels cyklar.,,,3 000 kr,Sommarkampanj
HYHM02 36 V,Seaside ,36,10,10,,3 500 kr,FALSE,14 Ah,5,4 300 kr,FALSE,,,,,,photos/batterier/hyhm02.webp,hyhm02,,,,3 000 kr,Sommarkampanj
Mate Bike X 48 V,Fatbike,48,10,10,,4 000 kr,FALSE,15 Ah,5,4 900 kr,FALSE,20 Ah,,5 800 kr,FALSE,,photos/batterier/mate_x.webp,bike-x,,,,3 500 kr,Sommarkampanj
Reention Dorado,"Lifebike, Lyfco ",36,10,10,,3 500 kr,FALSE,15 Ah,5,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,photos/batterier/reention_dorado.webp,reention-dorado,,,,3 000 kr,Sommarkampanj
Tianlong-I/II 36 V,"Golden Motor, ZOOM",36,10,10,,3 500 kr,FALSE,15 Ah,5,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,OBS! Finns i flera storlekar.,photos/batterier/tianlong.webp,tianlong,,,OBS! Finns i flera storlekar.,3 000 kr,Sommarkampanj
